orderId,orderDate,isDelivered,isReceived,payment_id,shippingAddress_id,userId
1673511,6/17/2021,1,1,1,1,2
1199898,6/18/2021,1,1,2,1,2
3194192,6/19/2021,1,1,3,1,2
1718559,6/20/2021,1,1,4,1,2
1447487,6/21/2021,1,1,5,2,3
1402090,6/22/2021,1,1,6,2,3
3186735,6/23/2021,1,1,7,3,4
3268552,6/24/2021,1,1,8,4,5
1492625,6/25/2021,1,1,9,4,5
1374495,6/26/2021,1,1,10,5,6
3002854,6/27/2021,1,1,11,6,7
2037211,6/28/2021,1,1,12,7,8
2710558,6/29/2021,1,1,13,7,8
1972919,6/30/2021,1,1,14,7,8
1839752,7/1/2021,1,1,15,8,9
3225766,7/2/2021,1,1,16,8,9
3160850,7/3/2021,1,1,17,8,9
1402502,7/4/2021,1,1,18,9,10
2774568,7/5/2021,1,1,19,9,10
3343014,7/6/2021,1,1,20,9,10
2030307,7/7/2021,1,1,21,10,11
2717275,7/8/2021,1,1,22,10,11
1909121,7/9/2021,1,1,23,10,11
2267326,7/10/2021,1,1,24,11,12
2557754,7/11/2021,1,1,25,11,12
1695742,7/12/2021,1,1,26,11,12
3321109,7/13/2021,1,1,27,12,13
1682003,7/14/2021,1,1,28,13,14
1014379,7/15/2021,1,1,29,13,14
1528013,7/16/2021,1,1,30,14,15
2565571,7/17/2021,1,1,31,15,16
2402008,7/18/2021,1,1,32,15,16
3239072,7/19/2021,1,1,33,16,17
1175028,7/20/2021,1,1,34,16,17
3060817,7/21/2021,1,1,35,16,17
3120740,7/22/2021,1,1,36,17,18
2425840,7/23/2021,1,1,37,17,18
1353310,7/24/2021,1,1,38,17,18
1822501,7/25/2021,1,1,39,17,18
2411567,7/26/2021,1,1,40,18,19
1170872,7/27/2021,1,1,41,19,20
2840752,7/28/2021,1,1,42,19,20
1611810,7/29/2021,1,1,43,20,21
2921164,7/30/2021,1,1,44,21,22
1468214,7/31/2021,1,1,45,22,23
1376945,8/1/2021,1,1,46,23,24
1483446,8/2/2021,1,1,47,24,25
1247527,8/3/2021,1,1,48,24,25
1916106,8/4/2021,1,1,49,24,25
3108588,8/5/2021,1,1,50,25,26
2298068,8/6/2021,1,1,51,25,26
1472646,8/7/2021,1,1,52,26,27
1789302,8/8/2021,1,1,53,26,27
1827621,8/9/2021,1,1,54,26,27
2906263,8/10/2021,1,1,55,27,28
3206747,8/11/2021,1,1,56,27,28
1366559,8/12/2021,1,1,57,28,29
1385564,8/13/2021,1,1,58,28,29
1691859,8/14/2021,1,1,59,28,29
2127409,8/15/2021,1,1,60,29,30
2505309,8/16/2021,1,1,61,30,31
3067644,8/17/2021,1,1,62,30,31
2109666,8/18/2021,1,1,63,31,32
1625325,8/19/2021,1,1,64,31,32
1335295,8/20/2021,1,1,65,32,33
2045336,8/21/2021,1,1,66,32,33
3394109,8/22/2021,1,1,67,32,33
2316178,8/23/2021,1,1,68,33,34
2514324,8/24/2021,1,1,69,33,34
3135826,8/25/2021,1,1,70,33,34
2564002,8/26/2021,1,1,71,33,34
2968173,8/27/2021,1,1,72,34,35
3097485,8/28/2021,1,1,73,34,35
1870022,8/29/2021,1,1,74,35,36
1911383,8/30/2021,1,1,75,35,36
2345592,8/31/2021,1,1,76,36,37
2994589,9/1/2021,1,1,77,37,38
2715276,9/2/2021,1,1,78,37,38
2883598,9/3/2021,1,1,79,38,39
1394165,9/4/2021,2,2,80,39,40
2817440,9/5/2021,3,3,81,39,40
